price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,Rank Sum
250000,"Belle Vue Estate, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/46k/45890/125906144/45890_HEN220152_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125906144#/map?channel=RES_BUY,711,3.0,123.5,126.5
425000,"Park Road, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/124905686/44870_31390249_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124905686#/map?channel=RES_BUY,820,54.5,72.0,126.5
440000,"Brent Street, Hendon NW4",Flat,×2,https://media.rightmove.co.uk/dir/47k/46965/127372442/46965_53058_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127372442#/map?channel=RES_BUY,837,63.5,67.0,130.5
320000,"Watford Way, Hendon, London, NW4",Flat,×2,https://media.rightmove.co.uk/dir/88k/87812/107409182/87812_1173432_FLP_00_0000.png,https://www.rightmove.co.uk/properties/107409182#/map?channel=RES_BUY,710,6.0,125.5,131.5
430000,"Boulevard Drive, London, NW9",Flat,×3,https://media.rightmove.co.uk/dir/224k/223325/128159837/223325_4093442c-1e0c-4bee-a272-11703d1c4749_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128159837#/map?channel=RES_BUY,816,58.0,75.0,133.0
549950,"Silkfield Road, Colindale, London, NW9",Semi-Detached,×3,https://media.rightmove.co.uk/dir/224k/223670/127971788/223670_ACR220167_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127971788#/map?channel=RES_BUY,1481,129.0,8.0,137.0
325000,Clive LodgeShirehall LaneHendonLondon,Flat,×2,https://media.rightmove.co.uk/dir/35k/34379/127663691/34379_31838303_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127663691#/map?channel=RES_BUY,699,8.0,131.0,139.0
450000,"Quadrant Close, Hendon",Flat,×3,https://media.rightmove.co.uk/dir/45k/44870/120909665/44870_31341771_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120909665#/map?channel=RES_BUY,831,71.5,68.5,140.0
345000,"Vivian Mansions, Vivian Avenue, Hendon, London, NW4",Maisonette,×2,https://media.rightmove.co.uk/dir/1k/349/97653503/349_KIB200226_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/97653503#/map?channel=RES_BUY,706,12.0,128.5,140.5
385000,"Avro House, Boulevard Drive, London, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/224k/223670/128402744/223670_ACR220305_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128402744#/map?channel=RES_BUY,737,35.5,107.0,142.5
499950,"Brampton Grove, Hendon, NW4",Flat,×2,https://media.rightmove.co.uk/dir/204k/203015/85652943/203015_1367798-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85652943#/map?channel=RES_BUY,936,100.5,44.0,144.5
485000,"Perryfield Way, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/120504071/44870_31316593_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120504071#/map?channel=RES_BUY,874,91.5,54.0,145.5
525000,"Sunny Gardens Road, Hendon",Flat,×4,https://media.rightmove.co.uk/dir/45k/44870/126908231/44870_31783272_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126908231#/map?channel=RES_BUY,1136,121.5,24.0,145.5
525000,"Sunny Gardens Road, Hendon, NW4",Flat,×4,https://media.rightmove.co.uk/dir/36k/35948/109937678/35948_4098095_FLP_00_0002.png,https://www.rightmove.co.uk/properties/109937678#/map?channel=RES_BUY,1124,121.5,25.0,146.5
220000,"Upper Fosters, New Brent Street, Hendon, London, NW4",Flat,×2,https://media.rightmove.co.uk/dir/1k/349/127075886/349_NFI220097_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127075886#/map?channel=RES_BUY,631,2.0,149.0,151.0
375000,"Quadrant Close, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/121796195/44870_31392637_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121796195#/map?channel=RES_BUY,719,31.0,120.5,151.5
485000,"Perryfield Way, London, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/46k/45890/126125087/45890_HEN220170_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126125087#/map?channel=RES_BUY,858,91.5,62.0,153.5
360000,"Wilshaw Close, Hendon, NW4",Flat,×2,https://media.rightmove.co.uk/dir/36k/35948/125218178/35948_4611988_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125218178#/map?channel=RES_BUY,689,22.0,132.5,154.5
470000,"Hillview Gardens, London, NW4",Maisonette,×3,https://media.rightmove.co.uk/dir/250k/249824/125235128/249824_flat_hillview_gardens_london_greater_london_nw4_2jh_3S_1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125235128#/map?channel=RES_BUY,822,84.0,71.0,155.0
350000,"Runway Drive, Colindale, London, NW9",Flat,×2,https://media.rightmove.co.uk/dir/88k/87812/121505237/87812_1197722_FLP_00_0000.png,https://www.rightmove.co.uk/properties/121505237#/map?channel=RES_BUY,663,16.5,140.5,157.0
575000,"Russell Road, West Hendon NW9",House,×3,https://media.rightmove.co.uk/dir/47k/46965/126698069/46965_52942_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126698069#/map?channel=RES_BUY,1238,142.0,15.0,157.0
550000,"Graham Road, London, NW4",Apartment,×3,https://media.rightmove.co.uk/dir/46k/45890/118956896/45890_HEN220022_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/118956896#/map?channel=RES_BUY,1114,133.5,26.0,159.5
350000,"Watford Way, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/85785912/44870_31563599_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85785912#/map?channel=RES_BUY,654,16.5,143.0,159.5
325000,"Greyhound Hill, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/128204054/44870_31881816_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128204054#/map?channel=RES_BUY,614,8.0,152.0,160.0
