price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area in ft
"£450,000","Sunningfields Road, Hendon, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/47k/46965/126787439/46965_47834_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126787439#/map?channel=RES_BUY,N/A
"£400,000","High Mount, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/47k/46965/127795376/46965_53112_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127795376#/map?channel=RES_BUY,N/A
"£650,000","Colin Park Road, Colindale, London, NW9",Semi-Detached,×3,https://media.rightmove.co.uk/dir/88k/87812/118388891/87812_1192004_FLP_00_0000.png,https://www.rightmove.co.uk/properties/118388891#/map?channel=RES_BUY,746.0
"£425,000","Wilberforce Road, NW9",Flat,×2,https://media.rightmove.co.uk/dir/58k/57608/85496553/57608_JHP01251-t-741_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85496553#/map?channel=RES_BUY,N/A
"£485,000","Eider Apartments, Perryfield Way, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/244k/243608/128463281/243608_HSS252371_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128463281#/map?channel=RES_BUY,N/A
"£515,000","Meadowlark House
Moorhen Drive off Perryfield Way
London
NW9 7DL ",Apartment,×2,https://media.rightmove.co.uk/dir/11k/10982/124547330/10982_RJE1002167_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124547330#/map?channel=RES_BUY,710.0
"£525,000","Graham Road, London, NW4",Duplex,×2,https://media.rightmove.co.uk/dir/50k/49212/128270450/49212_HH1_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128270450#/map?channel=RES_BUY,N/A
"£650,000","Selborne Gardens, London, NW4",Semi-Detached,×3,https://media.rightmove.co.uk/dir/45k/44870/123652736/44870_31521338_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123652736#/map?channel=RES_BUY,55.7
"£500,000","Damsel Walk, London",Flat,×2,https://media.rightmove.co.uk/dir/46k/45890/85440741/45890_HEN220124_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/85440741#/map?channel=RES_BUY,773.0
"£625,000","Park Road, Hendon, London, NW4",Terraced,×3,https://media.rightmove.co.uk/dir/46k/45890/127280681/45890_HEN210243_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127280681#/map?channel=RES_BUY,744.0
"£350,000","Wilshaw Close, Hendon, NW4",Flat,×2,https://media.rightmove.co.uk/dir/229k/228116/122096807/228116_BEA220647_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122096807#/map?channel=RES_BUY,676.0
"£440,000","Sunningfields Road, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/209k/208337/128403434/208337_JSW210017_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128403434#/map?channel=RES_BUY,869.0
"£425,000","Kennyland Court, Hendon Way, Hendon, NW4",Flat,×3,https://media.rightmove.co.uk/dir/45k/44870/120909665/44870_31341771_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120909665#/map?channel=RES_BUY,831.0
"£650,000","Selborne Gardens, Hendon",Semi-Detached,×3,https://media.rightmove.co.uk/dir/163k/162890/126145628/162890_ANDER_003059_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126145628#/map?channel=RES_BUY,724.0
"£365,000","Brampton Grove, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/5k/4571/127734275/4571_KGB200195_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127734275#/map?channel=RES_BUY,742.0
"£525,000","Woodlark Apartments, 1 Damsel Walk, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/45k/44870/122832155/44870_31448922_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122832155#/map?channel=RES_BUY,719.0
"£495,000","Hendale Avenue, Hendon, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/47k/46965/127372442/46965_53058_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127372442#/map?channel=RES_BUY,837.43
"£675,000","Finchley Lane, Hendon, London NW4",Apartment,×3,https://media.rightmove.co.uk/dir/104k/103727/127528841/103727_BHO221283_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127528841#/map?channel=RES_BUY,679.0
"£575,000","Finchley Lane, Hendon, London NW4",Apartment,×2,https://media.rightmove.co.uk/dir/88k/87812/127974269/87812_1217107_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127974269#/map?channel=RES_BUY,N/A
"£700,000","Colin Gardens, Colindale, London, NW9",End of Terrace,×4,https://media.rightmove.co.uk/dir/20k/19416/125751965/19416_103014006120_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125751965#/map?channel=RES_BUY,1013.0
"£325,000",Clive LodgeShirehall LaneHendonLondon,Flat,×2,https://media.rightmove.co.uk/dir/224k/223325/128159837/223325_4093442c-1e0c-4bee-a272-11703d1c4749_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128159837#/map?channel=RES_BUY,816.9
"£699,950","Somerset Road, Hendon NW4",House,×4,https://media.rightmove.co.uk/dir/62k/61544/85827717/61544_25098579_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85827717#/map?channel=RES_BUY,741.0
"£440,000","Shearwater Drive, The Hyde, London, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/12k/11432/126014006/11432_0025_HRT002509792_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126014006#/map?channel=RES_BUY,N/A
"£575,000","Rushgrove Avenue, London",Terraced,×3,https://media.rightmove.co.uk/dir/45k/44870/124913999/44870_31566300_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124913999#/map?channel=RES_BUY,1225.0
"£459,950","Sunnyhill Court, Sunningfields Crescent, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/12k/11432/127391096/11432_0025_HRT002509858_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127391096#/map?channel=RES_BUY,N/A
"£600,000","Burroughs Gardens, Hendon, London, NW4",House,×2,https://media.rightmove.co.uk/dir/45k/44870/124905686/44870_31390249_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124905686#/map?channel=RES_BUY,820.0
"£375,000","Sunningfields Road, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/47k/46965/127540358/46965_48072_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127540358#/map?channel=RES_BUY,830.0
"£699,950","Park Road, Hendon",Terraced,×4,https://media.rightmove.co.uk/dir/204k/203015/118568108/203015_1295875-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/118568108#/map?channel=RES_BUY,735.0
"£549,950","Silkfield Road, Colindale, London, NW9",Semi-Detached,×3,https://media.rightmove.co.uk/dir/229k/228116/120510284/228116_BEA220632_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120510284#/map?channel=RES_BUY,678.0
"£500,000","First Avenue, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/14k/13093/125373581/13093_BDC211401_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125373581#/map?channel=RES_BUY,573.0
"£625,000","Rushgrove Avenue, Colindale, NW9",Semi-Detached,×3,https://media.rightmove.co.uk/dir/47k/46965/125160884/46965_52594_FLP_00_0000.png,https://www.rightmove.co.uk/properties/125160884#/map?channel=RES_BUY,916.0
"£500,000","Moorhen Drive, Hendon, London, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/88k/87277/126542654/87277_31756322_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126542654#/map?channel=RES_BUY,898.0
"£500,000","Moorhen Drive, West Hendon, NW9",Flat,×2,https://media.rightmove.co.uk/dir/47k/46965/124672622/46965_47230_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124672622#/map?channel=RES_BUY,727.0
"£375,000","Hendon Way, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/127284995/44870_31810533_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127284995#/map?channel=RES_BUY,941.0
"£430,000","Boulevard Drive, London, NW9",Flat,×3,https://media.rightmove.co.uk/dir/229k/228116/119523032/228116_BEA220165_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/119523032#/map?channel=RES_BUY,693.0
"£450,000","Graham Road, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/229k/228116/125236247/228116_BEA220633_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125236247#/map?channel=RES_BUY,678.0
"£495,000","Graham Road, London, NW4",Duplex,×2,https://media.rightmove.co.uk/dir/182k/181559/127078433/181559_wbe_1128230088_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127078433#/map?channel=RES_BUY,669.7
"£485,000","Graham Road, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/45k/44870/126442985/44870_31750501_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126442985#/map?channel=RES_BUY,942.7
"£580,000","Meadowlark House
Moorhen Drive off Perryfield Way
London
NW9 7DL ",Apartment,×2,https://media.rightmove.co.uk/dir/46k/45890/120645521/45890_HEN220063_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/120645521#/map?channel=RES_BUY,682.0
